==20216== NVPROF is profiling process 20216, command: K_medoids_Cuda_v2.exe
==20216== Profiling application: K_medoids_Cuda_v2.exe
==20216== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
694.96ms     448ns                    -               -         -         -         -       80B  170.30MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
695.08ms  49.602us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [244]
695.22ms  3.2960us                    -               -         -         -         -  39.063KB  11.302GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
695.30ms  53.041ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [247]
748.46ms  6.3680us                    -               -         -         -         -  78.125KB  11.700GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
748.74ms  1.5680us                    -               -         -         -         -       16B  9.7314MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
748.74ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
748.74ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
748.75ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
748.75ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
748.75ms     480ns                    -               -         -         -         -       80B  158.95MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
748.83ms     448ns                    -               -         -         -         -       80B  170.30MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
SrcMemType: The type of source memory accessed by memory operation/copy
DstMemType: The type of destination memory accessed by memory operation/copy
